,Protein_Names,Sample_Name,Hits
77,DTNA-2_MOUSE;DTNA-3_MOUSE;DTNA-4_MOUSE;DTNA-7_MOUSE;DTNA_MOUSE;DTNB-2_MOUSE;DTNB_MOUSE,Q331K_M1,46199.7
78,CFDP1_MOUSE,Q331K_M1,423423.0
79,ZN326_MOUSE,Q331K_M1,0.0
80,S4A4-2_MOUSE;S4A4_MOUSE,Q331K_M1,226535.0
81,ZFR_MOUSE,Q331K_M1,3059710.0
82,ROA2_MOUSE,Q331K_M1,4386320.0
83,PAK1_MOUSE;PAK2_MOUSE;PAK3-2_MOUSE;PAK3_MOUSE,Q331K_M1,0.0
84,CTBP1-2_MOUSE;CTBP1_MOUSE;CTBP2-2_MOUSE;CTBP2_MOUSE,Q331K_M1,90361.1
85,BSN_MOUSE,Q331K_M1,584481.0
86,SYN1_MOUSE,Q331K_M1,284665.0
87,CASPE-2_MOUSE;CASPE_MOUSE,Q331K_M1,97758.5
88,COX2_MOUSE,Q331K_M1,110836.0
89,IGH1M_MOUSE;IGHG1_MOUSE,Q331K_M1,263568.0
90,HBA_MOUSE,Q331K_M1,424505.0
91,H31_MOUSE;H32_MOUSE;H33_MOUSE;H3C_MOUSE,Q331K_M1,11843900.0
92,GFAP-2_MOUSE;GFAP_MOUSE,Q331K_M1,88130.4
93,MBP-4_MOUSE,Q331K_M1,2894140.0
94,ALDOA_MOUSE,Q331K_M1,115955.0
95,AATM_MOUSE,Q331K_M1,0.0
96,LDHA_MOUSE,Q331K_M1,177498.0
97,KCRM_MOUSE,Q331K_M1,0.0
98,ANXA2_MOUSE,Q331K_M1,433590.0
99,ALBU_MOUSE,Q331K_M1,10158700.0
100,A1AT1_MOUSE,Q331K_M1,1058650.0
101,SPA3K_MOUSE,Q331K_M1,236259.0
102,HS90A_MOUSE,Q331K_M1,190147.0
103,MDHM_MOUSE,Q331K_M1,149932.0
104,NFL_MOUSE,Q331K_M1,328606.0
105,NFM_MOUSE,Q331K_M1,212757.0
106,RASH-2_MOUSE;RASH_MOUSE;RASK-2_MOUSE;RASK_MOUSE;RASN_MOUSE,Q331K_M1,104568.0
107,NUCL_MOUSE,Q331K_M1,251635.0
108,APOA2_MOUSE,Q331K_M1,470430.0
109,DERPC_MOUSE,Q331K_M1,153234.0
110,CALM1_MOUSE;CALM2_MOUSE;CALM3_MOUSE,Q331K_M1,208409.0
111,EF1A1_MOUSE,Q331K_M1,2527960.0
112,IF4A1_MOUSE;IF4A2-2_MOUSE;IF4A2_MOUSE,Q331K_M1,87580.2
113,TAU-5_MOUSE,Q331K_M1,841417.0
114,TAU-2_MOUSE;TAU_MOUSE,Q331K_M1,0.0
115,THIO_MOUSE,Q331K_M1,2401080.0
116,GSTM1_MOUSE;GSTM2_MOUSE;GSTM4_MOUSE;GSTM5_MOUSE;GSTM7_MOUSE,Q331K_M1,63584.5
117,4F2-2_MOUSE;4F2_MOUSE,Q331K_M1,54497.1
118,H2B1A_MOUSE;H2B1B_MOUSE;H2B1C_MOUSE;H2B1F_MOUSE;H2B1H_MOUSE;H2B1K_MOUSE;H2B1M_MOUSE;H2B1P-2_MOUSE;H2B1P_MOUSE;H2B2B_MOUSE,Q331K_M1,628132.0
119,H10_MOUSE,Q331K_M1,131927.0
120,TCP4_MOUSE,Q331K_M1,820554.0
121,CO1A1-2_MOUSE;CO1A1_MOUSE,Q331K_M1,430054.0
122,HS90B_MOUSE,Q331K_M1,339663.0
123,KCC2A_MOUSE,Q331K_M1,9328740.0
124,PFKAL_MOUSE;PFKAP-2_MOUSE;PFKAP_MOUSE,Q331K_M1,58905.5
125,RAPSN_MOUSE,Q331K_M1,490986.0
126,RL7A_MOUSE,Q331K_M1,147823.0
127,MYH1_MOUSE;MYH3_MOUSE;MYH4_MOUSE;MYH8_MOUSE,Q331K_M1,0.0
128,NCAM1_MOUSE,Q331K_M1,1569300.0
129,AT1B1_MOUSE,Q331K_M1,258553.0
130,RL27A_MOUSE,Q331K_M1,1553800.0
131,MAP1B_MOUSE,Q331K_M1,1205630.0
132,GLNA_MOUSE,Q331K_M1,101091.0
133,NDKA_MOUSE;NDKB_MOUSE,Q331K_M1,0.0
134,CN37-2_MOUSE;CN37_MOUSE,Q331K_M1,1735570.0
135,MUTA_MOUSE,Q331K_M1,230113.0
136,DDX3L_MOUSE;DDX3X_MOUSE,Q331K_M1,595762.0
137,KCNA1_MOUSE;KCNA2_MOUSE;KCNA3_MOUSE,Q331K_M1,138389.0
138,SPTN1_MOUSE,Q331K_M1,1150310.0
139,G3P_MOUSE,Q331K_M1,1745920.0
140,HSP72_MOUSE,Q331K_M1,138848.0
141,ENOA_MOUSE,Q331K_M1,74367.4
142,PTBP1_MOUSE;PTBP3-2_MOUSE;PTBP3_MOUSE,Q331K_M1,273460.0
143,AP2A2_MOUSE,Q331K_M1,66718.2
144,TPIS_MOUSE,Q331K_M1,93770.6
145,GTR1_MOUSE,Q331K_M1,213633.0
146,HS71A_MOUSE;HS71B_MOUSE,Q331K_M1,103787.0
147,LYZ1_MOUSE,Q331K_M1,93332.6
148,COF1_MOUSE,Q331K_M1,857272.0
149,GNAO-2_MOUSE;GNAO_MOUSE,Q331K_M1,1855060.0
150,NFH_MOUSE,Q331K_M1,292221.0
151,RL13A_MOUSE,Q331K_M1,29056.1
152,BIP_MOUSE,Q331K_M1,236528.0
153,VIME_MOUSE,Q331K_M1,579980.0
154,MTAP2_MOUSE,Q331K_M1,2463000.0
155,TPM3-2_MOUSE;TPM3_MOUSE,Q331K_M1,190173.0
156,GNA11_MOUSE,Q331K_M1,772790.0
157,CATA_MOUSE,Q331K_M1,134390.0
158,CD11B-2_MOUSE;CD11B_MOUSE,Q331K_M1,321147.0
159,CTNA1_MOUSE,Q331K_M1,273984.0
160,U2AF2_MOUSE,Q331K_M1,332379.0
161,RSMB_MOUSE;RSMN_MOUSE,Q331K_M1,148520.0
162,MAP4-4_MOUSE,Q331K_M1,417466.0
163,PLAP_MOUSE,Q331K_M1,82103.8
164,LEF1-2_MOUSE;LEF1_MOUSE,Q331K_M1,0.0
165,KCC2B_MOUSE,Q331K_M1,1280920.0
166,CELF1-2_MOUSE;CELF1-3_MOUSE;CELF1-4_MOUSE;CELF1_MOUSE,Q331K_M1,1321090.0
167,SEPT4-2_MOUSE;SEPT4-3_MOUSE;SEPT4-4_MOUSE;SEPT4-5_MOUSE;SEPT4_MOUSE,Q331K_M1,273551.0
