,Protein_Names,Sample_Name,Hits
0,DHB8_MOUSE,1139,0.0
1,PDK1_MOUSE,1139,0.0
2,U5S1_MOUSE,1139,0.0
3,PLCA_MOUSE,1139,0.0
4,PLCD_MOUSE,1139,0.0
5,PSD11_MOUSE,1139,0.0
6,PSD12_MOUSE,1139,0.0
7,PSD13_MOUSE,1139,0.0
8,PSDE_MOUSE,1139,0.0
9,PSMD7_MOUSE,1139,0.0
10,HAP28_MOUSE,1139,0.0
11,RT16_MOUSE,1139,0.0
12,RT18B_MOUSE,1139,0.0
13,RT02_MOUSE,1139,0.0
14,RT21_MOUSE,1139,0.0
15,RT22_MOUSE,1139,0.0
16,RT23_MOUSE,1139,0.0
17,RT26_MOUSE,1139,0.0
18,RT27_MOUSE,1139,0.0
19,RT28_MOUSE,1139,0.0
20,RT29_MOUSE,1139,0.0
21,RT07_MOUSE,1139,0.0
22,AEDO_MOUSE,1139,0.0
23,YTDC2_MOUSE,1139,0.0
24,RM16_MOUSE,1139,0.0
25,PDPK1_MOUSE,1139,0.0
26,RS12_MOUSE,1139,0.0
27,RS3A_MOUSE,1139,0.0
28,AL9A1_MOUSE,1139,0.0
29,XRN1_MOUSE,1139,0.0
30,RL12_MOUSE,1139,0.0
31,RL21_MOUSE,1139,0.0
32,RL36_MOUSE,1139,0.0
33,MEPCE_MOUSE,1139,0.0
34,AN32A_MOUSE;AN32B_MOUSE,1139,0.0
35,ACL6A_MOUSE,1139,0.0
36,ACL6B_MOUSE,1139,0.0
37,ACVR1_MOUSE,1139,0.0
38,ADNP_MOUSE,1139,0.0
39,LGAT1_MOUSE,1139,0.0
40,ACOT1_MOUSE;ACOT2_MOUSE;ACOT3_MOUSE;ACOT4_MOUSE;ACOT5_MOUSE;ACOT6_MOUSE,1139,0.0
41,APC_MOUSE,1139,0.0
42,HINT1_MOUSE,1139,0.0
43,ADCY9_MOUSE,1139,0.0
44,PURA1_MOUSE,1139,0.0
45,CAP1_MOUSE,1139,0.0
46,AGRV1_MOUSE,1139,0.0
47,ARL10_MOUSE,1139,0.0
48,AR6P4_MOUSE,1139,0.0
49,AFF2_MOUSE,1139,0.0
50,AFG1L_MOUSE,1139,0.0
51,AKA10_MOUSE,1139,0.0
52,AKAP2_MOUSE,1139,0.0
53,AKA7A_MOUSE;AKA7G_MOUSE,1139,0.0
54,AKAP8_MOUSE,1139,0.0
55,SYAC_MOUSE,1139,0.0
56,AMPD2_MOUSE,1139,0.0
57,STALP_MOUSE,1139,0.0
58,APC1_MOUSE,1139,0.0
59,ANR17_MOUSE,1139,0.0
60,ANXA7_MOUSE,1139,0.0
61,API5_MOUSE,1139,0.0
62,AGFG2_MOUSE,1139,0.0
63,RSRC2_MOUSE,1139,0.0
64,PNISR_MOUSE,1139,0.0
65,ARMC1_MOUSE,1139,0.0
66,ARPIN_MOUSE,1139,0.0
67,ARNT2_MOUSE,1139,0.0
68,ATX1_MOUSE,1139,0.0
69,ATX1L_MOUSE,1139,0.0
70,ATLA2_MOUSE,1139,0.0
71,ATLA3_MOUSE,1139,0.0
72,ATPF1_MOUSE,1139,0.0
73,DHX36_MOUSE,1139,0.0
74,DX39A_MOUSE,1139,0.0
75,DHX15_MOUSE,1139,0.0
76,ARI1A_MOUSE,1139,0.0
77,BIRC6_MOUSE,1139,0.0
78,BAG4_MOUSE,1139,0.0
79,BCL9_MOUSE,1139,0.0
80,SNTB1_MOUSE,1139,0.0
81,GLCNE_MOUSE,1139,0.0
82,BLMH_MOUSE,1139,0.0
83,BRD4_MOUSE,1139,0.0
84,BTBDH_MOUSE,1139,0.0
85,ZN207_MOUSE,1139,0.0
86,BUD13_MOUSE,1139,0.0
87,C2CD5_MOUSE,1139,0.0
88,CATIN_MOUSE,1139,0.0
89,CK2N2_MOUSE,1139,0.0
90,KCC1B_MOUSE,1139,0.0
91,CACO1_MOUSE,1139,0.0
92,SCMC3_MOUSE,1139,0.0
93,CHSP1_MOUSE,1139,0.0
94,CYBP_MOUSE,1139,0.0
95,PCP4_MOUSE,1139,0.0
96,CMTA1_MOUSE,1139,0.0
97,KAP0_MOUSE,1139,0.0
98,ARP19_MOUSE;ENSA_MOUSE,1139,0.0
99,PDE4A_MOUSE,1139,0.0
100,CLIP1_MOUSE,1139,0.0
101,CSK21_MOUSE,1139,0.0
102,CSK22_MOUSE,1139,0.0
103,CATD_MOUSE,1139,0.0
104,CTIF_MOUSE,1139,0.0
105,CNO11_MOUSE,1139,0.0
106,CNOT2_MOUSE,1139,0.0
107,CNOT3_MOUSE,1139,0.0
108,CD2B2_MOUSE,1139,0.0
109,CARF_MOUSE,1139,0.0
110,C2AIL_MOUSE,1139,0.0
111,CDC5L_MOUSE,1139,0.0
112,CP110_MOUSE,1139,0.0
113,CE162_MOUSE,1139,0.0
114,PCY1A_MOUSE,1139,0.0
115,CHD4_MOUSE,1139,0.0
116,CHD6_MOUSE;CHD8_MOUSE,1139,0.0
117,CHAP1_MOUSE,1139,0.0
118,CF410_MOUSE,1139,0.0
119,CPSF1_MOUSE,1139,0.0
120,CPSF3_MOUSE,1139,0.0
121,CPSF4_MOUSE,1139,0.0
122,CSTF2_MOUSE,1139,0.0
123,CSTFT_MOUSE,1139,0.0
124,CSTF3_MOUSE,1139,0.0
125,CLASR_MOUSE,1139,0.0
126,COPA_MOUSE,1139,0.0
127,C2D1A_MOUSE,1139,0.0
128,CC136_MOUSE,1139,0.0
129,CCDC6_MOUSE,1139,0.0
130,CC85A_MOUSE,1139,0.0
131,CCDC9_MOUSE,1139,0.0
132,COIL_MOUSE,1139,0.0
133,C1QBP_MOUSE,1139,0.0
134,CSN1_MOUSE,1139,0.0
135,CUTC_MOUSE,1139,0.0
136,COR1A_MOUSE,1139,0.0
137,CELF1_MOUSE,1139,0.0
138,CELF2_MOUSE,1139,0.0
139,CELF3_MOUSE,1139,0.0
140,CELF6_MOUSE,1139,0.0
141,CUL4B_MOUSE,1139,0.0
142,CD11B_MOUSE,1139,0.0
143,CDK12_MOUSE,1139,0.0
144,CCNT1_MOUSE,1139,0.0
145,CHRD1_MOUSE,1139,0.0
146,CPEB2_MOUSE,1139,0.0
147,CPEB4_MOUSE,1139,0.0
148,NCK1_MOUSE,1139,0.0
149,DAZP1_MOUSE,1139,0.0
150,DCAF5_MOUSE,1139,0.0
151,DIDO1_MOUSE,1139,0.0
152,DCAKD_MOUSE,1139,0.0
153,DSC1_MOUSE,1139,0.0
154,DGLA_MOUSE,1139,0.0
155,DIP2A_MOUSE,1139,0.0
156,DIP2B_MOUSE,1139,0.0
157,DIK1B_MOUSE,1139,0.0
158,DMAP1_MOUSE,1139,0.0
159,XPF_MOUSE,1139,0.0
160,TOP2B_MOUSE,1139,0.0
161,TOP3B_MOUSE,1139,0.0
162,RFX5_MOUSE,1139,0.0
163,DNJA3_MOUSE,1139,0.0
164,DJB12_MOUSE,1139,0.0
165,DNJB4_MOUSE,1139,0.0
166,DOC2A_MOUSE,1139,0.0
167,STAU1_MOUSE,1139,0.0
168,RED1_MOUSE,1139,0.0
169,MP2K6_MOUSE,1139,0.0
170,CLK3_MOUSE,1139,0.0
171,DYR1A_MOUSE,1139,0.0
172,DYN2_MOUSE,1139,0.0
173,DYL2_MOUSE,1139,0.0
174,DMWD_MOUSE,1139,0.0
175,EP400_MOUSE,1139,0.0
176,BRE1B_MOUSE,1139,0.0
177,DZIP3_MOUSE,1139,0.0
178,HAKAI_MOUSE,1139,0.0
179,HERC2_MOUSE,1139,0.0
180,LTN1_MOUSE,1139,0.0
181,PJA2_MOUSE,1139,0.0
182,RNF14_MOUSE,1139,0.0
183,TRI35_MOUSE,1139,0.0
184,TRIPC_MOUSE,1139,0.0
185,TTC3_MOUSE,1139,0.0
186,GCN1_MOUSE,1139,0.0
187,ELAV2_MOUSE,1139,0.0
188,ETFA_MOUSE,1139,0.0
189,ELMD1_MOUSE,1139,0.0
190,ELP1_MOUSE,1139,0.0
191,ELOC_MOUSE,1139,0.0
192,ERH_MOUSE,1139,0.0
193,MAP7_MOUSE,1139,0.0
194,D39U1_MOUSE,1139,0.0
195,EPMIP_MOUSE,1139,0.0
196,EPN2_MOUSE,1139,0.0
197,ERI3_MOUSE,1139,0.0
198,EIF3C_MOUSE,1139,0.0
199,EIF3D_MOUSE,1139,0.0
200,EIF3F_MOUSE,1139,0.0
201,EIF3H_MOUSE,1139,0.0
202,4ET_MOUSE,1139,0.0
203,EXOC1_MOUSE,1139,0.0
204,EXC6B_MOUSE;EXOC6_MOUSE,1139,0.0
205,EXOC8_MOUSE,1139,0.0
206,EXO5_MOUSE,1139,0.0
207,EXOSX_MOUSE,1139,0.0
208,MTREX_MOUSE,1139,0.0
209,CAZA1_MOUSE,1139,0.0
210,FSCN1_MOUSE,1139,0.0
211,FABP5_MOUSE,1139,0.0
212,FXL16_MOUSE,1139,0.0
213,FBSP1_MOUSE,1139,0.0
214,FIBA_MOUSE,1139,0.0
215,FIBB_MOUSE,1139,0.0
216,FIBG_MOUSE,1139,0.0
217,FRS3_MOUSE,1139,0.0
218,FINC_MOUSE,1139,0.0
219,FSD1_MOUSE,1139,0.0
220,FBLN5_MOUSE,1139,0.0
221,FLNA_MOUSE,1139,0.0
222,FLNB_MOUSE,1139,0.0
223,FWCH1_MOUSE,1139,0.0
224,NUFP2_MOUSE,1139,0.0
225,FAK1_MOUSE,1139,0.0
226,FBP1L_MOUSE,1139,0.0
227,FMR1_MOUSE,1139,0.0
228,FN3K_MOUSE,1139,0.0
229,GCP2_MOUSE,1139,0.0
230,CXG2_MOUSE,1139,0.0
231,WDR59_MOUSE,1139,0.0
232,T2FA_MOUSE,1139,0.0
233,USO1_MOUSE,1139,0.0
234,GANP_MOUSE,1139,0.0
235,GLMN_MOUSE,1139,0.0
236,GCR_MOUSE,1139,0.0
237,SYQ_MOUSE,1139,0.0
238,GLRX5_MOUSE,1139,0.0
239,GGT7_MOUSE,1139,0.0
240,GPX1_MOUSE,1139,0.0
241,GSK3A_MOUSE,1139,0.0
242,LMBD2_MOUSE,1139,0.0
243,GASP2_MOUSE,1139,0.0
244,GRSF1_MOUSE,1139,0.0
245,GRB2_MOUSE,1139,0.0
246,GTPB1_MOUSE,1139,0.0
247,RIT2_MOUSE,1139,0.0
248,MCF2L_MOUSE,1139,0.0
249,GCYA1_MOUSE,1139,0.0
250,CLCN4_MOUSE,1139,0.0
251,NOP10_MOUSE,1139,0.0
252,HTR5B_MOUSE,1139,0.0
253,HDGF_MOUSE,1139,0.0
254,HDGR2_MOUSE,1139,0.0
255,HNRPQ_MOUSE,1139,0.0
256,HNRL1_MOUSE,1139,0.0
257,HDAC2_MOUSE,1139,0.0
258,HDAC5_MOUSE,1139,0.0
259,RBBP7_MOUSE,1139,0.0
260,HTSF1_MOUSE,1139,0.0
261,HMBX1_MOUSE,1139,0.0
262,IRGM1_MOUSE,1139,0.0
263,IRGQ_MOUSE,1139,0.0
264,IMA3_MOUSE,1139,0.0
265,IMA4_MOUSE,1139,0.0
266,IMA5_MOUSE,1139,0.0
267,IPO7_MOUSE,1139,0.0
268,PLCL1_MOUSE;PLCL2_MOUSE,1139,0.0
269,ITPA_MOUSE,1139,0.0
270,IMDH2_MOUSE,1139,0.0
271,OCRL_MOUSE,1139,0.0
272,INP4A_MOUSE,1139,0.0
273,ITPK1_MOUSE,1139,0.0
274,IRS2_MOUSE,1139,0.0
275,IDE_MOUSE,1139,0.0
276,INT1_MOUSE,1139,0.0
277,ILK_MOUSE,1139,0.0
278,ILF3_MOUSE,1139,0.0
279,IRAK1_MOUSE,1139,0.0
280,INF2_MOUSE,1139,0.0
281,IQCB1_MOUSE,1139,0.0
282,JUPI1_MOUSE,1139,0.0
283,JUPI2_MOUSE,1139,0.0
284,KLK8_MOUSE,1139,0.0
285,KTNB1_MOUSE,1139,0.0
286,KLD8A_MOUSE;KLD8B_MOUSE;KLH22_MOUSE,1139,0.0
287,KEAP1_MOUSE,1139,0.0
288,K1H1_MOUSE,1139,0.0
289,KRT36_MOUSE,1139,0.0
290,K1C26_MOUSE,1139,0.0
291,K2C79_MOUSE,1139,0.0
292,KT3K_MOUSE,1139,0.0
293,KHDR2_MOUSE,1139,0.0
294,KHDR3_MOUSE,1139,0.0
295,KHDC4_MOUSE,1139,0.0
296,KBP_MOUSE,1139,0.0
297,KSR2_MOUSE,1139,0.0
298,KIFA3_MOUSE,1139,0.0
299,KIF14_MOUSE;KIF9_MOUSE;STAR9_MOUSE,1139,0.0
300,LAMA5_MOUSE,1139,0.0
301,LAMC1_MOUSE,1139,0.0
302,LAR4B_MOUSE,1139,0.0
303,LARP6_MOUSE,1139,0.0
304,LARP7_MOUSE,1139,0.0
305,LRCH2_MOUSE,1139,0.0
306,LRC47_MOUSE,1139,0.0
307,FCSK_MOUSE,1139,0.0
308,LMO3_MOUSE;RBTN1_MOUSE,1139,0.0
309,LDB1_MOUSE,1139,0.0
310,LA_MOUSE,1139,0.0
311,LAMP1_MOUSE,1139,0.0
312,MAGL2_MOUSE,1139,0.0
313,MSL1_MOUSE,1139,0.0
314,MALR1_MOUSE,1139,0.0
315,MRP_MOUSE,1139,0.0
316,MED15_MOUSE,1139,0.0
317,MATK_MOUSE,1139,0.0
318,MAGE1_MOUSE,1139,0.0
319,MTA1_MOUSE,1139,0.0
320,MTA2_MOUSE,1139,0.0
321,MEP50_MOUSE,1139,0.0
322,MIC25_MOUSE,1139,0.0
323,DGCR8_MOUSE,1139,0.0
324,K0754_MOUSE,1139,0.0
325,TPC_MOUSE,1139,0.0
326,MK01_MOUSE,1139,0.0
327,MK09_MOUSE;MK10_MOUSE,1139,0.0
328,M3K5_MOUSE,1139,0.0
329,M4K2_MOUSE,1139,0.0
330,BUB3_MOUSE,1139,0.0
331,SMAD1_MOUSE;SMAD2_MOUSE;SMAD3_MOUSE;SMAD5_MOUSE;SMAD9_MOUSE,1139,0.0
332,CAPAM_MOUSE,1139,0.0
333,MCES_MOUSE,1139,0.0
334,RAE1L_MOUSE,1139,0.0
335,DCP1A_MOUSE,1139,0.0
336,MINT_MOUSE,1139,0.0
337,MBNL1_MOUSE,1139,0.0
338,MRTFB_MOUSE,1139,0.0
339,MEF2D_MOUSE,1139,0.0
340,MTMR1_MOUSE,1139,0.0
341,NAGK_MOUSE,1139,0.0
342,NAL4A_MOUSE,1139,0.0
343,SARM1_MOUSE,1139,0.0
344,WWP2_MOUSE,1139,0.0
345,NUB1_MOUSE,1139,0.0
346,UBA3_MOUSE,1139,0.0
347,ULA1_MOUSE,1139,0.0
348,NELFE_MOUSE,1139,0.0
349,NEB2_MOUSE,1139,0.0
350,NEUL4_MOUSE,1139,0.0
351,NEC1_MOUSE,1139,0.0
352,NYAP1_MOUSE,1139,0.0
353,NKRF_MOUSE,1139,0.0
354,NID1_MOUSE,1139,0.0
355,NID2_MOUSE,1139,0.0
356,NISCH_MOUSE,1139,0.0
357,NOSIP_MOUSE,1139,0.0
358,NKTR_MOUSE,1139,0.0
359,NLRX1_MOUSE,1139,0.0
360,NSF1C_MOUSE,1139,0.0
361,NCBP3_MOUSE,1139,0.0
362,NUP54_MOUSE,1139,0.0
363,NUP85_MOUSE,1139,0.0
364,NUP98_MOUSE,1139,0.0
365,NCOA1_MOUSE,1139,0.0
366,NCOA2_MOUSE,1139,0.0
367,NCOA5_MOUSE,1139,0.0
368,NCOR2_MOUSE,1139,0.0
369,NRBP2_MOUSE,1139,0.0
370,NUCKS_MOUSE,1139,0.0
371,EXOG_MOUSE,1139,0.0
372,NOP56_MOUSE,1139,0.0
373,TIAR_MOUSE,1139,0.0
374,SEH1_MOUSE,1139,0.0
375,NACC2_MOUSE,1139,0.0
376,NUDC3_MOUSE,1139,0.0
377,OLA1_MOUSE,1139,0.0
378,OPALI_MOUSE,1139,0.0
379,OPA3_MOUSE,1139,0.0
380,OTUD4_MOUSE,1139,0.0
381,OTU6A_MOUSE,1139,0.0
382,OSB10_MOUSE,1139,0.0
383,PALM_MOUSE,1139,0.0
384,SPG7_MOUSE,1139,0.0
385,PTMS_MOUSE,1139,0.0
386,PARD3_MOUSE,1139,0.0
387,PLPL6_MOUSE,1139,0.0
388,PAXB1_MOUSE,1139,0.0
389,PPID_MOUSE,1139,0.0
390,FKBP4_MOUSE,1139,0.0
391,FKBP5_MOUSE,1139,0.0
392,FKBP8_MOUSE,1139,0.0
393,PLIN4_MOUSE,1139,0.0
394,PEX6_MOUSE,1139,0.0
395,PCNP_MOUSE,1139,0.0
396,PHF14_MOUSE,1139,0.0
397,CDS2_MOUSE,1139,0.0
398,PI5PA_MOUSE,1139,0.0
399,PI3R4_MOUSE,1139,0.0
400,PUR4_MOUSE,1139,0.0
401,PITH1_MOUSE,1139,0.0
402,PHLB1_MOUSE,1139,0.0
403,PCBP4_MOUSE,1139,0.0
404,PUF60_MOUSE,1139,0.0
405,PABP2_MOUSE,1139,0.0
406,PAIP1_MOUSE,1139,0.0
407,PTBP1_MOUSE,1139,0.0
408,PTBP2_MOUSE,1139,0.0
409,PTBP3_MOUSE,1139,0.0
410,CLP1_MOUSE,1139,0.0
411,KCNA3_MOUSE,1139,0.0
412,KCNA6_MOUSE,1139,0.0
413,KCNQ2_MOUSE,1139,0.0
414,PRAF2_MOUSE,1139,0.0
415,WDR33_MOUSE,1139,0.0
416,PRP19_MOUSE,1139,0.0
417,PR38A_MOUSE,1139,0.0
418,RBM22_MOUSE,1139,0.0
419,PICK1_MOUSE,1139,0.0
420,DDX20_MOUSE,1139,0.0
421,S7A14_MOUSE,1139,0.0
422,SYEM_MOUSE,1139,0.0
423,PDCD7_MOUSE,1139,0.0
424,PROD_MOUSE,1139,0.0
425,PRR12_MOUSE,1139,0.0
426,MCH_MOUSE,1139,0.0
427,PCS1N_MOUSE,1139,0.0
428,PXL2B_MOUSE,1139,0.0
429,PSME3_MOUSE,1139,0.0
430,PSA5_MOUSE,1139,0.0
431,PSA7_MOUSE,1139,0.0
432,ANM5_MOUSE,1139,0.0
433,ANM8_MOUSE,1139,0.0
434,AGO2_MOUSE,1139,0.0
435,AGO3_MOUSE;AGO4_MOUSE,1139,0.0
436,CIC_MOUSE,1139,0.0
437,CASC3_MOUSE,1139,0.0
438,CDV3_MOUSE,1139,0.0
439,CL16A_MOUSE,1139,0.0
440,CREG2_MOUSE,1139,0.0
441,F168A_MOUSE,1139,0.0
442,F177A_MOUSE,1139,0.0
443,FA98A_MOUSE,1139,0.0
444,FA98B_MOUSE,1139,0.0
445,HOOK3_MOUSE,1139,0.0
446,LSM12_MOUSE,1139,0.0
447,LS14A_MOUSE,1139,0.0
448,LS14B_MOUSE,1139,0.0
449,MGN2_MOUSE;MGN_MOUSE,1139,0.0
450,PPM1G_MOUSE,1139,0.0
451,PPM1H_MOUSE,1139,0.0
452,PPTC7_MOUSE,1139,0.0
453,POF1B_MOUSE,1139,0.0
454,PB1_MOUSE,1139,0.0
455,PRC2B_MOUSE,1139,0.0
456,PRC2C_MOUSE,1139,0.0
457,QKI_MOUSE,1139,0.0
458,RCC2_MOUSE,1139,0.0
459,RED_MOUSE,1139,0.0
460,S10AB_MOUSE,1139,0.0
461,SET_MOUSE,1139,0.0
462,SHSA9_MOUSE,1139,0.0
463,SBNO1_MOUSE,1139,0.0
464,VIR_MOUSE,1139,0.0
465,TGM3_MOUSE,1139,0.0
466,MYCT_MOUSE,1139,0.0
467,PIP30_MOUSE,1139,0.0
468,PUM2_MOUSE,1139,0.0
469,PURG_MOUSE,1139,0.0
470,DHX57_MOUSE,1139,0.0
471,RB15B_MOUSE,1139,0.0
472,PYGO1_MOUSE,1139,0.0
473,R3HD2_MOUSE,1139,0.0
474,GDIB_MOUSE,1139,0.0
475,RABX5_MOUSE,1139,0.0
476,RBL2A_MOUSE,1139,0.0
477,RGPA1_MOUSE,1139,0.0
478,REPS1_MOUSE,1139,0.0
479,REPS2_MOUSE,1139,0.0
480,RANB3_MOUSE,1139,0.0
481,RNBP6_MOUSE,1139,0.0
482,RANB9_MOUSE,1139,0.0
483,G3BP1_MOUSE,1139,0.0
484,RASL1_MOUSE,1139,0.0
485,RAB15_MOUSE,1139,0.0
486,RAB26_MOUSE,1139,0.0
487,RAB7A_MOUSE,1139,0.0
488,RBCC1_MOUSE,1139,0.0
489,RIMS4_MOUSE,1139,0.0
490,RPR1B_MOUSE,1139,0.0
491,R7BP_MOUSE,1139,0.0
492,RENT2_MOUSE,1139,0.0
493,RAI1_MOUSE,1139,0.0
494,RDH13_MOUSE,1139,0.0
495,RHG26_MOUSE,1139,0.0
496,ARHGC_MOUSE,1139,0.0
497,RNC_MOUSE,1139,0.0
498,RNH2B_MOUSE,1139,0.0
499,RPP25_MOUSE,1139,0.0
500,RAVR1_MOUSE,1139,0.0
501,RAVR2_MOUSE,1139,0.0
502,KS6A4_MOUSE,1139,0.0
503,KS6A5_MOUSE,1139,0.0
504,PPIL2_MOUSE,1139,0.0
505,RFOX1_MOUSE,1139,0.0
506,RAMAC_MOUSE,1139,0.0
507,AQR_MOUSE,1139,0.0
508,RTRAF_MOUSE,1139,0.0
509,RBMX2_MOUSE,1139,0.0
510,RBM10_MOUSE,1139,0.0
511,RBM12_MOUSE,1139,0.0
512,R12BA_MOUSE,1139,0.0
513,RBM20_MOUSE,1139,0.0
514,RBM26_MOUSE,1139,0.0
515,RBM33_MOUSE,1139,0.0
516,RBM4_MOUSE,1139,0.0
517,RBM42_MOUSE,1139,0.0
518,RBM45_MOUSE,1139,0.0
519,RBM4B_MOUSE,1139,0.0
520,RBM5_MOUSE,1139,0.0
521,RBM8A_MOUSE,1139,0.0
522,FXR2_MOUSE,1139,0.0
523,MSI1H_MOUSE,1139,0.0
524,MSI2H_MOUSE,1139,0.0
525,NOVA2_MOUSE,1139,0.0
526,RALY_MOUSE,1139,0.0
527,RO60_MOUSE,1139,0.0
528,RNPC3_MOUSE,1139,0.0
529,RC3H1_MOUSE,1139,0.0
530,RC3H2_MOUSE,1139,0.0
531,RUFY2_MOUSE,1139,0.0
532,SASH1_MOUSE,1139,0.0
533,SCFD1_MOUSE,1139,0.0
534,SESD1_MOUSE,1139,0.0
535,SCAM3_MOUSE,1139,0.0
536,SBP2L_MOUSE,1139,0.0
537,SENP3_MOUSE,1139,0.0
538,SRS10_MOUSE,1139,0.0
539,SRSF5_MOUSE,1139,0.0
540,BRAF_MOUSE,1139,0.0
541,LMTK3_MOUSE,1139,0.0
542,PAK1_MOUSE,1139,0.0
543,TBK1_MOUSE,1139,0.0
544,TLK2_MOUSE,1139,0.0
545,WNK1_MOUSE;WNK4_MOUSE,1139,0.0
546,PP1RA_MOUSE,1139,0.0
547,P4R3A_MOUSE,1139,0.0
